network,subset_name,eval_subset,seed,optimizer,layers,accuracy,precision,recall,f1,precision_w,recall_w,f1_w
EfficientNetV2B0,phone,phone,8,AdamW,GlobalMaxPooling2D,0.6868686868686869,0.675,0.684612031386225,0.6761633428300096,0.7019742883379247,0.6868686868686869,0.6910318762170615
EfficientNetV2B0,phone,fresh,8,AdamW,GlobalMaxPooling2D,0.7083333333333334,0.6985294117647058,0.6976284584980237,0.6980523053222316,0.7077205882352942,0.7083333333333334,0.708001687268459
EfficientNetV2B0,phone,dried,8,AdamW,GlobalMaxPooling2D,0.5842696629213483,0.5903061224489796,0.5903061224489796,0.5842696629213483,0.5963425819766108,0.5842696629213483,0.5842696629213483
EfficientNetV2B0,phone,comparison,8,AdamW,GlobalMaxPooling2D,0.6653696498054474,0.6630002485707184,0.6599195220095111,0.6604289577187807,0.6642138443250918,0.6653696498054474,0.6637758781645872
EfficientNetV2B0,phone,all,10,AdamW,GlobalMaxPooling2D,0.6180371352785146,0.6187311633514165,0.6112161933261815,0.6084472909814782,0.6185809098510976,0.6180371352785146,0.6118606253922878
EfficientNetV2B0,phone,microscope,10,AdamW,GlobalMaxPooling2D,0.6518987341772152,0.6542312661498708,0.6531184864518198,0.6515497814667789,0.6548977038563438,0.6518987341772152,0.6512706192984299
EfficientNetV2B0,phone,phone,10,AdamW,GlobalMaxPooling2D,0.6565656565656566,0.6389823380992431,0.6440714908456844,0.6403846153846153,0.6648401593733806,0.6565656565656566,0.6596477596477597
EfficientNetV2B0,phone,fresh,10,AdamW,GlobalMaxPooling2D,0.6785714285714286,0.6697909156452775,0.6723759332454984,0.6706838971976187,0.6817643423627562,0.6785714285714286,0.67978489493663
EfficientNetV2B0,phone,dried,10,AdamW,GlobalMaxPooling2D,0.6067415730337079,0.6130102040816326,0.6130102040816326,0.6067415730337079,0.6192788351295575,0.6067415730337079,0.6067415730337079
EfficientNetV2B0,phone,comparison,10,AdamW,GlobalMaxPooling2D,0.6536964980544747,0.6509648475909537,0.6497683209364711,0.6501154911048903,0.6528153204855971,0.6536964980544747,0.6530078428718623
EfficientNetV2B0,fresh,all,2,AdamW,GlobalMaxPooling2D,0.610079575596817,0.6107360097323601,0.6027892270340466,0.5992406985573273,0.6106021736464726,0.610079575596817,0.6029119311029609
EfficientNetV2B0,fresh,microscope,2,AdamW,GlobalMaxPooling2D,0.6835443037974683,0.6836422240128928,0.6827000160333494,0.6827309236947792,0.6836095839410847,0.6835443037974683,0.6831376137461237
EfficientNetV2B0,fresh,phone,2,AdamW,GlobalMaxPooling2D,0.6363636363636364,0.6087053571428571,0.6061464690496949,0.6071428571428572,0.6325487012987012,0.6363636363636364,0.6341991341991342
EfficientNetV2B0,fresh,fresh,2,AdamW,GlobalMaxPooling2D,0.6904761904761905,0.6797694694842619,0.6780851998243302,0.6788235294117647,0.689216576241846,0.6904761904761905,0.6897478991596638
EfficientNetV2B0,fresh,dried,2,AdamW,GlobalMaxPooling2D,0.6179775280898876,0.6124213836477987,0.6094387755102041,0.6096491228070176,0.6153628718818458,0.6179775280898876,0.6154149418490046
EfficientNetV2B0,fresh,comparison,2,AdamW,GlobalMaxPooling2D,0.6653696498054474,0.66338199513382,0.6637605170101206,0.6635306296431616,0.6658373332575952,0.6653696498054474,0.6655632308751617
EfficientNetV2B0,fresh,all,4,AdamW,GlobalMaxPooling2D,0.6286472148541115,0.6280555555555556,0.6236378521822596,0.6227844482561464,0.6282257589154141,0.6286472148541115,0.6254039822680031
EfficientNetV2B0,fresh,microscope,4,AdamW,GlobalMaxPooling2D,0.6962025316455697,0.6988682958832213,0.6944043610710278,0.693798449612403,0.6984240018436126,0.6962025316455697,0.6944853301933077
EfficientNetV2B0,fresh,phone,4,AdamW,GlobalMaxPooling2D,0.6565656565656566,0.6308035714285714,0.6277244986922406,0.628968253968254,0.6530122655122655,0.6565656565656566,0.6545214045214044
EfficientNetV2B0,fresh,fresh,4,AdamW,GlobalMaxPooling2D,0.6904761904761905,0.6797694694842619,0.6780851998243302,0.6788235294117647,0.689216576241846,0.6904761904761905,0.6897478991596638
EfficientNetV2B0,fresh,dried,4,AdamW,GlobalMaxPooling2D,0.6629213483146067,0.6638418079096045,0.6479591836734694,0.6468253968253967,0.6635561480352948,0.6629213483146067,0.654449794899233
EfficientNetV2B0,fresh,comparison,4,AdamW,GlobalMaxPooling2D,0.6809338521400778,0.6802071973827699,0.6813498353859285,0.6801153612629023,0.6832591473634632,0.6809338521400778,0.6814375388337243
